,predicted_mean
213,35.24111727205481
214,20.02299012532201
215,21.168324485652775
216,36.21467707770763
217,51.6101576993065
218,50.18926163924792
219,50.421138911033374
220,36.979855064712766
221,32.109662695033784
222,53.228533994610515
223,66.90714356334293
224,43.89888037610228
225,36.442712037115214
226,62.242120645661316
227,36.74515495112729
228,21.14971658191775
229,19.350911082245318
230,35.50379080824783
231,55.80536876422674
232,46.933331484018744
233,52.15645333400363
234,34.877700066277185
235,32.35016049149936
236,53.32808212340138
237,68.1559075293147
238,47.60950851474816
239,37.129970075915224
240,67.14414416716303
241,36.54747719187509
242,21.001004920427125
